E:\mengmeng&yueyue\yueyue\P14-Convolutional-Neural-Networks\Convolutional_Neural_Networks\venv\Scripts\python.exe E:/mengmeng&yueyue/yueyue/P14-Convolutional-Neural-Networks/Convolutional_Neural_Networks/cnn.py
Using TensorFlow backend.
E:/mengmeng&yueyue/yueyue/P14-Convolutional-Neural-Networks/Convolutional_Neural_Networks/cnn.py:25: UserWarning: Update your `Conv2D` call to the Keras 2 API: `Conv2D(32, (3, 3), input_shape=(64, 64, 3..., activation="relu")`
  classifier.add(Convolution2D(32, 3, 3, input_shape = (64, 64, 3), activation = 'relu'))
2019-11-25 22:32:33.076867: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
E:/mengmeng&yueyue/yueyue/P14-Convolutional-Neural-Networks/Convolutional_Neural_Networks/cnn.py:31: UserWarning: Update your `Conv2D` call to the Keras 2 API: `Conv2D(32, (3, 3), activation="relu")`
  classifier.add(Convolution2D(32, 3, 3, activation = 'relu'))
E:/mengmeng&yueyue/yueyue/P14-Convolutional-Neural-Networks/Convolutional_Neural_Networks/cnn.py:38: UserWarning: Update your `Dense` call to the Keras 2 API: `Dense(activation="relu", units=128)`
  classifier.add(Dense(output_dim = 128, activation = 'relu'))
E:/mengmeng&yueyue/yueyue/P14-Convolutional-Neural-Networks/Convolutional_Neural_Networks/cnn.py:39: UserWarning: Update your `Dense` call to the Keras 2 API: `Dense(activation="sigmoid", units=1)`
  classifier.add(Dense(output_dim = 1, activation = 'sigmoid'))
Found 2 images belonging to 2 classes.
Found 2 images belonging to 2 classes.
E:/mengmeng&yueyue/yueyue/P14-Convolutional-Neural-Networks/Convolutional_Neural_Networks/cnn.py:69: UserWarning: The semantics of the Keras 2 argument `steps_per_epoch` is not the same as the Keras 1 argument `samples_per_epoch`. `steps_per_epoch` is the number of batches to draw from the generator at each epoch. Basically steps_per_epoch = samples_per_epoch/batch_size. Similarly `nb_val_samples`->`validation_steps` and `val_samples`->`steps` arguments have changed. Update your method calls accordingly.
  nb_val_samples = 2000)
E:/mengmeng&yueyue/yueyue/P14-Convolutional-Neural-Networks/Convolutional_Neural_Networks/cnn.py:69: UserWarning: Update your `fit_generator` call to the Keras 2 API: `fit_generator(<keras.pre..., validation_data=<keras.pre..., steps_per_epoch=250, epochs=25, validation_steps=2000)`
  nb_val_samples = 2000)
Epoch 1/25

  1/250 [..............................] - ETA: 1:22 - loss: 0.7068 - accuracy: 0.5000
  3/250 [..............................] - ETA: 43s - loss: 0.6059 - accuracy: 0.6667 
  4/250 [..............................] - ETA: 45s - loss: 0.5524 - accuracy: 0.7500
  5/250 [..............................] - ETA: 46s - loss: 0.4775 - accuracy: 0.8000
  6/250 [..............................] - ETA: 46s - loss: 0.4215 - accuracy: 0.8333
  7/250 [..............................] - ETA: 46s - loss: 0.3725 - accuracy: 0.8571
  8/250 [..............................] - ETA: 47s - loss: 0.3297 - accuracy: 0.8750
  9/250 [>.............................] - ETA: 46s - loss: 0.2964 - accuracy: 0.8889
 10/250 [>.............................] - ETA: 47s - loss: 0.2675 - accuracy: 0.9000
 11/250 [>.............................] - ETA: 46s - loss: 0.2436 - accuracy: 0.9091
 12/250 [>.............................] - ETA: 46s - loss: 0.2234 - accuracy: 0.9167
 13/250 [>.............................] - ETA: 46s - loss: 0.2063 - accuracy: 0.9231
 14/250 [>.............................] - ETA: 46s - loss: 0.1916 - accuracy: 0.9286
 15/250 [>.............................] - ETA: 46s - loss: 0.1788 - accuracy: 0.9333
 16/250 [>.............................] - ETA: 46s - loss: 0.1677 - accuracy: 0.9375
 17/250 [=>............................] - ETA: 46s - loss: 0.1579 - accuracy: 0.9412
 18/250 [=>............................] - ETA: 46s - loss: 0.1491 - accuracy: 0.9444
 19/250 [=>............................] - ETA: 46s - loss: 0.1413 - accuracy: 0.9474
 20/250 [=>............................] - ETA: 45s - loss: 0.1342 - accuracy: 0.9500
 21/250 [=>............................] - ETA: 45s - loss: 0.1278 - accuracy: 0.9524
 22/250 [=>............................] - ETA: 45s - loss: 0.1220 - accuracy: 0.9545
 23/250 [=>............................] - ETA: 45s - loss: 0.1167 - accuracy: 0.9565
 24/250 [=>............................] - ETA: 45s - loss: 0.1118 - accuracy: 0.9583
 25/250 [==>...........................] - ETA: 45s - loss: 0.1074 - accuracy: 0.9600
 26/250 [==>...........................] - ETA: 45s - loss: 0.1032 - accuracy: 0.9615
 27/250 [==>...........................] - ETA: 44s - loss: 0.0994 - accuracy: 0.9630
 28/250 [==>...........................] - ETA: 44s - loss: 0.0959 - accuracy: 0.9643
 29/250 [==>...........................] - ETA: 44s - loss: 0.0926 - accuracy: 0.9655
 30/250 [==>...........................] - ETA: 44s - loss: 0.0895 - accuracy: 0.9667
 31/250 [==>...........................] - ETA: 44s - loss: 0.0866 - accuracy: 0.9677
 32/250 [==>...........................] - ETA: 43s - loss: 0.0839 - accuracy: 0.9688
 33/250 [==>...........................] - ETA: 43s - loss: 0.0813 - accuracy: 0.9697
 34/250 [===>..........................] - ETA: 43s - loss: 0.0789 - accuracy: 0.9706
 35/250 [===>..........................] - ETA: 43s - loss: 0.0767 - accuracy: 0.9714
 36/250 [===>..........................] - ETA: 43s - loss: 0.0746 - accuracy: 0.9722
 37/250 [===>..........................] - ETA: 43s - loss: 0.0725 - accuracy: 0.9730
 38/250 [===>..........................] - ETA: 42s - loss: 0.0706 - accuracy: 0.9737
 39/250 [===>..........................] - ETA: 42s - loss: 0.0688 - accuracy: 0.9744
 40/250 [===>..........................] - ETA: 42s - loss: 0.0671 - accuracy: 0.9750
 41/250 [===>..........................] - ETA: 42s - loss: 0.0655 - accuracy: 0.9756
 42/250 [====>.........................] - ETA: 42s - loss: 0.0639 - accuracy: 0.9762
 43/250 [====>.........................] - ETA: 41s - loss: 0.0624 - accuracy: 0.9767
 44/250 [====>.........................] - ETA: 41s - loss: 0.0610 - accuracy: 0.9773
 45/250 [====>.........................] - ETA: 41s - loss: 0.0596 - accuracy: 0.9778
 46/250 [====>.........................] - ETA: 41s - loss: 0.0584 - accuracy: 0.9783
 47/250 [====>.........................] - ETA: 41s - loss: 0.0571 - accuracy: 0.9787
 48/250 [====>.........................] - ETA: 40s - loss: 0.0559 - accuracy: 0.9792
 49/250 [====>.........................] - ETA: 40s - loss: 0.0548 - accuracy: 0.9796
 50/250 [=====>........................] - ETA: 40s - loss: 0.0537 - accuracy: 0.9800
 51/250 [=====>........................] - ETA: 40s - loss: 0.0526 - accuracy: 0.9804
 52/250 [=====>........................] - ETA: 40s - loss: 0.0516 - accuracy: 0.9808
 53/250 [=====>........................] - ETA: 39s - loss: 0.0506 - accuracy: 0.9811
 54/250 [=====>........................] - ETA: 39s - loss: 0.0497 - accuracy: 0.9815
 55/250 [=====>........................] - ETA: 39s - loss: 0.0488 - accuracy: 0.9818
 56/250 [=====>........................] - ETA: 39s - loss: 0.0479 - accuracy: 0.9821
 57/250 [=====>........................] - ETA: 39s - loss: 0.0471 - accuracy: 0.9825
 58/250 [=====>........................] - ETA: 38s - loss: 0.0463 - accuracy: 0.9828
